core,TD,BD,age,CO2,d18O,dD,CH4,TAC
ALHIC1901,136.575,136.665,783,251.3,-37.4,-304.7,,
ALHIC1901,136.575,136.665,783,250,-36.6,-299.3,,
ALHIC1901,137.515,137.655,765,245.2,-37.4,-305.3,,
ALHIC1901,137.515,137.655,765,245.6,,,,
ALHIC1901,137.515,137.655,765,256.3,-36.6,-298.2,,
ALHIC1901,137.515,137.655,765,240.9,-37.4,-304.7,,
ALHIC1901,137.515,137.655,765,240.2,-36.9,-301.2,,
ALHIC1901,147.205,147.275,549,223,-37.9,-310.2,,
ALHIC1901,147.205,147.275,549,224.7,-37.2,-304.5,,
ALHIC1901,147.205,147.275,549,221.8,-37.1,-304.8,,
ALHIC1901,147.205,147.275,549,222.5,-37.9,-310.2,,
ALHIC1901,147.665,147.765,792,232.5,-35.1,-284,,
ALHIC1901,147.665,147.765,792,233.2,-34.9,-283.2,,
ALHIC1901,147.665,147.765,792,233.2,-35.8,-291.5,,
ALHIC1901,147.665,147.765,792,236,-35.5,-288.7,,
ALHIC1901,147.665,147.765,792,233.5,-36.6,-295.7,,
ALHIC1901,147.665,147.765,792,233.5,,,,
ALHIC1901,151.155,151.255,563,227.6,-37.6,-306.2,,
ALHIC1901,151.155,151.255,563,222.5,-37.6,-306.3,,
ALHIC1901,151.155,151.255,563,219.5,-36.9,-302.1,,
ALHIC1901,151.155,151.255,563,220.5,-37,-302.8,,
ALHIC1901,151.155,151.255,563,220.5,-37.4,-307.3,,
ALHIC1901,136.575,136.665,783,,-37.7,-307.5,459.2,0.0847
ALHIC1901,136.575,136.665,783,,-37.7,-307.9,467.9,0.0793
ALHIC1901,136.575,136.665,783,,-37.6,-307,469,0.0834
ALHIC1901,136.575,136.665,783,,-37.7,-307.7,477.8,0.0837
ALHIC1901,136.575,136.665,783,,-37.7,-307.8,478.5,0.0888
ALHIC1901,136.575,136.665,783,,-37.8,-308.4,459.6,0.0843
ALHIC1901,137.515,137.655,765,,-37.6,-306.1,494.3,0.0842
ALHIC1901,137.515,137.655,765,,-37.6,-306.4,483.5,0.0829
ALHIC1901,137.515,137.655,765,,-37.6,-306.8,477.1,0.085
ALHIC1901,147.205,147.275,549,,-37.9,-310.5,481.1,0.0998
ALHIC1901,147.205,147.275,549,,-37.9,-310.1,499.3,0.0935
ALHIC1901,147.205,147.275,549,,-38,-311.6,476.5,0.0897
ALHIC1901,147.665,147.765,792,,-35.8,-289.5,508,0.0799
ALHIC1901,147.665,147.765,792,,-35.4,-285.8,510.5,0.0848
ALHIC1901,147.665,147.765,792,,-36.5,-296.2,510.4,0.0986
ALHIC1901,147.665,147.765,792,,-35.7,-288.3,504.3,0.0811
ALHIC1901,147.805,147.895,611,,-37.9,-309.5,500.4,0.1036
ALHIC1901,147.805,147.895,611,,-37.7,-308.4,506.4,0.0982
ALHIC1901,147.805,147.895,611,,-38.1,-311.3,501.8,0.0917
ALHIC1902,135.62,135.82,,,-38.27,-305.19,,
ALHIC1902,135.82,137.21,,,-37.71,-300.67,,
ALHIC1902,137.21,137.68,,,-37.68,-300.69,,
ALHIC1902,137.88,139.04,,,-36.88,-294.07,,
ALHIC1902,139.04,139.72,,,-37.51,-299.27,,
ALHIC1902,139.72,141.08,,,-37.72,-301.16,,
ALHIC1902,141.08,141.99,,,-37.85,-303.34,,
ALHIC1902,141.99,142.85,,,-37.79,-302.5,,
ALHIC1902,142.85,143.4,,,-36.81,-292.84,,
ALHIC1902,143.4,144.02,,,-37.01,-293.42,,
ALHIC1902,144.02,145.06,,,-36.8,-292.18,,
ALHIC1902,145.06,145.73,,,-37.36,-297.5,,
ALHIC1902,145.73,146.98,,,-37.97,-303.18,,
ALHIC1902,146.98,147.6,,,-37.38,-299.25,,
ALHIC1902,147.6,148.47,,,-36.57,-290.73,,
ALHIC1902,148.47,149.22,,,-37.17,-295.87,,
ALHIC1902,149.22,149.29,,,-37.45,-297.41,,
ALHIC1902,153.83,153.9,,,-36.82,-292.62,,
ALHIC1902,153.9,154.89,,,-36.83,-292.9,,
ALHIC1902,154.89,155.11,,,-37.39,-297.54,,
ALHIC1902,155.11,155.17,,,-37.39,-298.03,,
ALHIC1902,155.17,155.76,,,-36.98,-294.65,,
ALHIC1902,155.76,156.14,,,-37.29,-296.7,,
ALHIC1902,156.14,156.43,,,-37.2,-295.72,,
ALHIC1902,156.43,156.87,,,-37.6,-299.81,,
ALHIC1902,156.87,157.31,,,-37.27,-296.96,,
ALHIC1902,157.31,157.96,,,-37.04,-294.48,,
ALHIC1902,157.96,158.12,,,-37.13,-295.13,,
ALHIC1902,158.12,158.24,,,-37.02,-293.99,,
ALHIC1902,159.2,159.7,,,-37.24,-296.83,,
ALHIC1902,159.7,159.95,,,-37.07,-295.18,,
ALHIC1902,159.95,160.04,,,-36.7,-292.85,,
ALHIC1902,160.04,160.59,,,-36.89,-294.22,,
ALHIC1902,161.33,161.6,,,-36.8,-291.43,,
ALHIC1903,70.88,70.98,126.272,273,,,674.3,0.1
ALHIC1903,71.91,72.01,126.4287181,,,,656,0.099
ALHIC1903,72.11,72.21,126.4591489,,,,656.5,0.098
ALHIC1903,72.97,73.07,126.5900009,,,,666.2,0.098
ALHIC1903,73.79,73.89,126.7147668,,,,682.7,0.099
ALHIC1903,75.62,75.72,126.9932078,,,,684.7,0.097
ALHIC1903,77.56,77.66,127.2883857,,,,704.1,0.099
ALHIC1903,78.78,78.88,127.474013,279,,,709.1,0.1
ALHIC1903,79.52,79.62,127.5866066,279,,,732.4,0.102
ALHIC1903,80.02,80.12,127.6626834,,,,721.1,0.098
ALHIC1903,80.12,80.22,127.6778987,,,,716.9,0.099
ALHIC1903,81.05,81.2,127.8232054,,,,729.2,0.099
ALHIC1903,82.02,82.12,127.9669905,,,,726.6,0.097
ALHIC1903,82.98,83.08,128.1130579,285,,,735.2,0.101
ALHIC1903,83.08,83.18,128.1341056,,,,738.6,0.098
ALHIC1903,84.7,84.8,128.4750788,,,,755,0.097
ALHIC1903,85.74,85.84,128.5513757,,,,740.7,0.099
ALHIC1903,85.84,85.94,128.5587119,,,,721.9,0.101
ALHIC1903,87.54,87.69,128.685262,,,,551.6,0.098
ALHIC1903,87.69,87.79,128.6944323,273,,,569.4,0.1
ALHIC1903,88.58,88.68,128.7597249,,,,553.6,0.097
ALHIC1903,88.68,88.78,128.7670611,,,,555.5,0.098
ALHIC1903,89.75,89.85,128.8455589,,,,555.7,0.1
ALHIC1903,90.51,90.61,128.9013143,,,,555.8,0.095
ALHIC1903,91.46,91.56,128.9710085,,,,570.7,0.098
ALHIC1903,93.29,93.39,129.1052617,,,,562,0.097
ALHIC1903,97.85,97.95,129.4397942,,,,547,0.094
ALHIC1903,97.95,98.05,129.4471305,,,,535.5,0.099
ALHIC1903,106.31,106.41,130.06044,,,,529,0.093
ALHIC1903,108.92,109.02,130.3025578,,,,509.1,0.097
ALHIC1903,111.49,111.73,130.5474585,,,,507.6,0.095
ALHIC1903,112.37,112.47,130.6225985,,,,508.6,0.092
ALHIC1903,113.1,113.14,130.6875343,,,,504.8,0.094
ALHIC1903,113.38,113.48,130.7162916,,,,502.5,0.093
ALHIC1903,113.99,114.09,130.7728785,,,,497.1,0.093
ALHIC1903,114.71,114.81,130.8396696,,,,479.6,0.098
ALHIC1903,119.32,119.42,131.1290569,,,,470.7,0.09
ALHIC1903,120.85,120.95,131.6609346,,,,478,0.091
ALHIC1903,123.56,123.66,132.6030186,228,,,462.8,0.091
ALHIC1903,124.11,124.21,132.7942164,223,,,491.1,0.089
ALHIC1903,124.91,125.01,133.0723224,223,,,501.4,0.093
ALHIC1903,125.56,125.66,133.2982835,220,,,464.8,0.093
ALHIC1903,126.26,126.36,133.5416262,217,,,445.9,0.093
ALHIC1903,129.99,130.09,134.8382953,201,,,407.7,0.097
ALHIC1903,130.14,130.24,134.8904402,,,,407.1,0.095
ALHIC1903,130.54,130.64,135.0294932,201,,,415.1,0.095
ALHIC1903,130.89,130.99,135.1511645,,,,408.3,0.094
ALHIC1903,131.37,131.43,135.3110755,,,,410.8,0.096
ALHIC1903,131.43,131.53,135.3388861,,,,396.8,0.097
ALHIC1903,131.96,132.04,135.519655,,,,400,0.096
ALHIC1903,132.16,132.26,135.5926578,,,,403.9,0.094
ALHIC1903,132.26,132.33,135.6222065,,,,395.5,0.098
ALHIC1903,132.43,132.46,135.6743514,,,,401.9,0.094
ALHIC1903,133.5,133.6,136.0584853,,,,405.8,0.095
ALHIC1903,134.15,134.22,136.2792319,,,,407.4,0.098
ALHIC1903,134.37,134.47,136.3609255,,,,392.5,0.099
ALHIC1903,134.7,134.8,136.4756442,,,,365.7,0.101
ALHIC1903,134.98,135.08,136.7786139,,,,363.4,0.102
ALHIC1903,135.13,135.2,136.9246885,,,,359.3,0.1
ALHIC1903,135.2,135.3,137.0166614,,,,363.6,0.102
ALHIC1903,135.31,135.41,137.1356852,,,,352.4,0.102
ALHIC1903,136.07,136.17,137.9580313,,,,347.5,0.098
ALHIC1903,137.09,137.16,139.0454759,,,,352.8,0.095
ALHIC1903,137.79,137.89,139.8191305,,,,358.6,0.099
ALHIC1903,137.96,138.06,140.0030763,,,,353.7,0.097
ALHIC1903,138.07,138.16,140.11669,,,,356.4,0.097
ALHIC1903,138.69,138.79,140.7929614,,,,352.6,0.096
ALHIC1903,139.26,139.36,141.409721,,,,365.2,0.098
ALHIC1903,139.39,139.48,141.5449753,,,,373.3,0.1
ALHIC1903,140.29,140.39,142.5242165,,,,369,0.102
ALHIC1903,140.39,140.45,142.6107792,194,,,366.2,0.098
ALHIC1903,141.2,141.26,143.4872271,,,,402.8,0.097
ALHIC1903,141.27,141.35,143.5737898,,,,397.3,0.095
ALHIC1903,141.98,142.08,144.3528546,,,,408.1,0.096
ALHIC1903,142.31,142.38,144.6936954,,,,416.6,0.096
ALHIC1903,143.24,143.34,145.1486458,,,,398.5,0.095
ALHIC1903,144.63,144.71,145.8130179,,,,381.1,0.098
ALHIC1903,145.23,145.33,146.1066896,,,,381,0.094
ALHIC2201,0.04576708,,,,,,645.7717518570217,
ALHIC2201,0.056753895,,,,,,645.5715398982567,
ALHIC2201,0.067740711,,,,,,644.3307797933619,
ALHIC2201,0.078727527,,,,,,644.5126251547433,
ALHIC2201,0.089714343,,,,,,643.5384216488702,
ALHIC2201,0.1007011586096684,,,,,,644.9622239840799,
ALHIC2201,0.1116879744306831,,,,,,643.0887729869962,
ALHIC2201,0.1226747902516979,,,,,,628.5954707071965,
ALHIC2201,0.1336616060727127,,,,,,606.2669582418105,
ALHIC2201,0.1446484218937275,,,,,,566.6851999633415,
ALHIC2201,0.1556352377147423,,,,,,523.6825187727121,
ALHIC2201,0.4535430711610487,,,,,,462.3658755399821,
ALHIC2201,0.4677752808988764,,,,,,430.5926477418876,
ALHIC2201,0.4820074906367041,,,,,,420.20692003729454,
ALHIC2201,0.4962397003745318,,,,,,420.7206190161608,
ALHIC2201,0.5104719101123596,,,,,,422.6150662930927,
ALHIC2201,0.5247041198501873,,,,,,419.3689350531018,
ALHIC2201,0.53893633,,,,,,413.4426292,
ALHIC2201,0.5531685393258428,,,,,,407.2905256282891,
ALHIC2201,0.6006065200909781,,,,,,397.6908265389877,
ALHIC2201,0.6115996967399546,,,,,,381.9276257934335,
ALHIC2201,0.6225928733889311,,,,,,368.3652189354726,
ALHIC2201,0.6335860500379076,,,,,,346.50759761437234,
ALHIC2201,0.644579227,,,,,,328.0291769733043,
ALHIC2201,0.6555724033358605,,,,,,340.8553195224857,
ALHIC2201,0.6665655799848371,,,,,,397.0151930241421,
ALHIC2201,0.6775587566338136,,,,,,458.1177704314744,
ALHIC2201,0.6885519332827901,,,,,,527.8412374020594,
ALHIC2201,0.6995451099317666,,,,,,568.4382117517373,
ALHIC2201,0.710538287,,,,,,584.0749856991857,
ALHIC2201,3.0487313432835825,,,,,,668.6478209411805,
ALHIC2201,3.061855378281009,,,,,,650.8896217538442,
ALHIC2201,3.074979413278436,,,,,,639.9840400062983,
ALHIC2201,3.0881034482758625,,,,,,637.3591001259354,
ALHIC2201,3.101227483273289,,,,,,637.2624770219426,
ALHIC2201,3.114351518270716,,,,,,644.7236618518065,
ALHIC2201,3.1274755532681424,,,,,,658.0741851100411,
ALHIC2201,3.140599588265569,,,,,,677.1802447147019,
ALHIC2201,3.153723623262996,,,,,,692.1933613831873,
ALHIC2201,3.1668476582604224,,,,,,704.4307634368165,
ALHIC2201,3.179971693257849,,,,,,710.9028064643861,
ALHIC2201,3.193095728255276,,,,,,711.9528894,
ALHIC2201,3.2062197632527023,,,,,,714.8096847363445,
ALHIC2201,3.219343798250129,,,,,,710.0109433764715,
ALHIC2201,3.87890032,,,,,,691.5497643606947,
ALHIC2201,3.8935322359396434,,,,,,699.2777521629199,
ALHIC2201,3.908164151806128,,,,,,702.3370519187513,
ALHIC2201,3.922796067672611,,,,,,698.6204836,
ALHIC2201,3.937427983539095,,,,,,687.1858784350866,
